,,,,,,,,,
1,,,,,,,,,
2,,Title,,,,,,
3,,Pops,
4,,,"Natsu Matsuri 【Whiteberry】
夏祭り",★3,★2,★6,★6,,
5,,,Feel Special 【TWICE】,★2,★4,★5,★7,,
6,,,DDU-DU DDU-DU 【BLACKPINK】,★2,★2,★4,★7,,
7,,,"I LOVE... 【Official HIGE DANdism】
I LOVE...／Official髭男dism",★2,★3,★4,★7,,
8,,,"Yoru ni Kakeru 【YOASOBI】
夜に駆ける／YOASOBI",★1,★2,★4,★8,,
9,,,"That's Why I Gave Up on Music 【Yorushika】
だから僕は音楽を辞めた／ヨルシカ",★1,★2,★4,★6,★8,
10,,,"Marigold 【Aimyon】
マリーゴールド",★1,★1,★4,★6,,
11,,,"Ao to Natsu 【Mrs. GREEN APPLE】
青と夏",★2,★2,★3,★6,,
12,,,"Zenzenzense 【Radwimps】
前前前世／映画「君の名は。」より",★3,★4,★6,★8,,
13,,,"Kurenai 【X-Japan】
紅",★3,★4,★7,★8,,
14,,,
15,,,TT 【TWICE】,★3,★5,★5,★7,★9,
16,,,bad guy 【Billie Eilish】,★3,★5,★6,★7,,
17,,,"Igaku 【Sasuke Haraguchi feat. Kasane Teto】
イガク／原口沙輔 feat. 重音テト",★3,★5,★6,★8,★10,
18,,,"Override 【Yoshida Yasei feat. Kasane Teto】
オーバーライド／吉田夜世 feat. 重音テト",★3,★5,★6,★9,,
19,,,"Odo 【Ado】
踊／Ado",★2,★3,★5,★8,,
20,,,"Usseewa 【Ado】
うっせぇわ／Ado",★2,★2,★3,★8,,
21,,,"Dance Hall 【Mrs. GREEN APPLE】
ダンスホール",★2,★3,★6,★7,,
22,,,"Chu, Tayousei. 【ano】
ちゅ、多様性。／TVアニメ「チェンソーマン」エンディング・テーマ",★3,★4,★5,★8,,
23,,,"Kawaikute Gomen 【HoneyWorks】
可愛くてごめん",★2,★4,★5,★7,,
24,,,"Star Mine 【Da-iCE】
スターマイン",★3,★4,★5,★7,,
25,,,"Habit 【SEKAI NO OWARI】
Habit／映画『ホリック xxxHOLiC』主題歌",★2,★4,★5,★7,★8,
26,,,RPG 【SEKAI NO OWARI】,★3,★3,★4,★6,,
27,,,"phony 【Tsumiki feat. KAFU】
フォニイ／ツミキ feat. 音楽的同位体 可不(KAFU)",★3,★4,★5,★7,★9,
28,,,"S'il Vous President 【Pmarusama】
シル・ヴ・プレジデント／P丸様。",★3,★4,★5,★7,★9,
29,,,"HIMAWARI HAPPY 【Himawari Channel】
HIMAWARI HAPPY／HIMAWARIちゃんねる",★1,★1,★2,★2,,
30,,,"OTONABLUE 【Atarashii Gakko!】
オトナブルー／新しい学校のリーダーズ",★2,★4,★4,★7,,
31,,,"Haru wo Tsugeru 【yama】
春を告げる／yama",★3,★4,★7,★8,,
32,,,"Kiseki 【GReeeeN】
キセキ／ドラマ「ROOKIES」より",★3,★2,★3,★2,,
33,,,"Joyful 【Ikimono Gakari】
じょいふる",★3,★4,★6,★6,,
34,,,"Ai o Komete Hanataba o 【Superfly】
愛をこめて花束を",★2,★2,★4,★5,,
35,,,"Kibun Joujou ↑↑ 【mihimaru GT】
気分上々↑↑",★4,★4,★6,★7,,
36,,,"Sakuranbo 【Ai Ootsuka】
さくらんぼ",★4,★4,★4,★8,,
37,,,"Sobakasu 【Judy and Mary】
そばかす",★4,★3,★4,★6,,
38,,,"Plastic Love 【Mariya Takeuchi】
プラスティック・ラブ",★2,★4,★5,★7,,
39,,,"Mayonaka no Door ~ Stay with Me 【Miki Matsubara】
真夜中のドア～Stay with me",★3,★4,★5,★8,,
40,,,"Tsugaru Kaikyou Fuyugeshiki
津軽海峡・冬景色",★1,★2,★4,★6,★8,
41,,,"365 Steps March
三百六十五歩のマーチ",★1,★1,★2,★3,,
42,,Anime,
43,,,"MIXED NUTS
【SPY×FAMILY】
ミックスナッツ
／TVアニメ『SPY×FAMILY』第1クールオープニング主題歌",★2,★4,★5,★7,★9,
44,,,"Gurenge 【Demon Slayer: Kimetsu no Yaiba】
紅蓮華／「鬼滅の刃」より",★2,★2,★3,★6,★8,
45,,,"Kaikai Kitan 【Jujutsu Kaisen】
廻廻奇譚／TVアニメ『呪術廻戦』第1クールオープニングテーマ",★4,★5,★6,★8,,
46,,,"Into the Unknown 【Frozen 2】
Into the Unknown／「アナと雪の女王2」より",★1,★2,★5,★7,,
47,,,"Guren no Yumiya 【Attack on Titan】
紅蓮の弓矢／「進撃の巨人」より",★5,★6,★6,★8,,
48,,,"Yume o Kanaete Doraemon
夢をかなえてドラえもん",★1,★1,★2,★4,,
49,,,"A Cruel Angel's Thesis 【Neon Genesis Evangelion】
残酷な天使のテーゼ／「新世紀エヴァンゲリオン」より",★4,★4,★6,★7,★8,
50,,,,
51,,,"Butter-Fly 【Digimon Adventures】
Butter-Fly／「デジモンアドベンチャー」より",★4,★5,★5,★7,,
52,,,"Moonlight Densetsu 【Pretty Guardian Sailor Moon】
ムーンライト伝説／「美少女戦士セーラームーン」",★2,★2,★5,★8,,
53,,,"Makafushigi Adventure! 【Dragon Ball】
魔訶不思議アドベンチャー!／「ドラゴンボール」 より",★3,★5,★6,★7,,
54,,,"Tonari no Totoro
となりのトトロ",★2,★3,★1,★5,,
55,,,"Iinazukkyun 【Ranma 1/2】
許婚っきゅん／「らんま1/2」より",★3,★3,★5,★7,,
56,,,"Lilac 【Oblivion Battery】
ライラック／TVアニメ「忘却バッテリー」より",★3,★4,★4,★8,,
57,,,"Detective Conan Main Theme
名探偵コナン　メイン・テーマ／アニメ「名探偵コナン」より",★3,★1,★5,★6,,
58,,,"Sunny 【Frieren: Beyond Journey's End】
晴る／TVアニメ『葬送のフリーレン』第2クールオープニングテーマ",★3,★3,★4,★7,,
59,,,"Yuusha 【Frieren: Beyond Journey's End】
勇者／「葬送のフリーレン」より",★2,★3,★5,★7,★9,
60,,,"UUUUUS！ 【One Piece】
あーーっす！／「ワンピース」より",★2,★3,★4,★6,,
61,,,"I’m invincible 【One Piece Film: Red】
私は最強／Ado 「ウタの歌 ONE PIECE FILM RED」より",★2,★3,★4,★7,,
62,,,"New Genesis 【One Piece Film: Red】
新時代／Ado 「ウタの歌 ONE PIECE FILM RED」より",★2,★4,★5,★7,,
63,,,"OVER THE TOP 【One Piece】
OVER THE TOP／ONE PIECEワノ国編主題歌",★1,★2,★2,★6,,
64,,,"One day 【One Piece】
One day／「ワンピース」より",★2,★3,★5,★6,,
65,,,"BRAND NEW WORLD 【One Piece】
BRAND NEW WORLD／「ワンピース」より",★3,★5,★4,★5,,
66,,,"Kokoro no Chizu 【One Piece】
ココロのちず／TVアニメ「ワンピース」より",★3,★4,★4,★5,,
67,,,"We Are! 【One Piece】
ウィーアー！／「ワンピース」より",★3,★4,★5,★6,★10,
68,,,"Kura Kura 【SPY×FAMILY】
クラクラ／TVアニメ『SPY×FAMILY』Season 2 オープニング主題歌",★2,★4,★4,★7,,
69,,,"SOUVENIR 【SPY×FAMILY】
SOUVENIR／TVアニメ『SPY×FAMILY』第2クールオープニング主題歌",★3,★4,★5,★6,,
70,,,"WISE - BONDMAN - STRIX 【SPY×FAMILY】
WISE - BONDMAN - STRIX／TVアニメ『SPY×FAMILY』より",★3,★5,★5,★8,,
71,,,"Dai-Zero Kan 【The First Slam Dunk】
第ゼロ感／Taiko Team cover ver. / 「THE FIRST SLAM DUNK」より",★3,★5,★5,★7,,
72,,,"STONE OCEAN 【JoJo's Bizarre Adventure: Stone Ocean】
STONE OCEAN／「ジョジョの奇妙な冒険 ストーンオーシャン」より",★3,★5,★6,★7,,
73,,,"JoJo ~Sono Chi no Sadame~ 【JoJo's Bizarre Adventure】
ジョジョ～その血の運命～／「ジョジョの奇妙な冒険」より",★3,★5,★5,★7,,
74,,,"THE DAY 【My Hero Academia】
THE DAY／「僕のヒーローアカデミア」より",★2,★4,★6,★8,,
75,,,"Ukiuki Otoppe 【Otoppe】
ウキウキオトッペ",★1,★1,★4,★9,,
76,,,"Doraemon no Uta
ドラえもんのうた",★1,★2,★3,★3,,
77,,,"Anpanman no March 【Soreike! Anpanman】
アンパンマンのマーチ",★2,★1,★5,★1,,
78,,,"Anpanman Taisou 【Soreike! Anpanman】
アンパンマンたいそう／それいけ！アンパンマン",★2,★2,★4,★4,,
79,,,"Yuuki Rinrin 【Soreike! Anpanman】
勇気りんりん／「それいけ！アンパンマン」",★2,★3,★3,★7,,
80,,,"Yuruyuru de DE-O 【Crayon Shin-chan】
ユルユルでDE-O!／アニメ「クレヨンしんちゃん」より",★2,★2,★3,★8,,
81,,,"Kimi ni 100 Percent 【Crayon Shin-Chan】
キミに100パーセント／「クレヨンしんちゃん」より",★2,★3,★5,★5,,
82,,,"OLA!! 【Yuzu】
OLA!!／「クレヨンしんちゃん オラの引越し物語～サボテン大襲撃～」",★4,★4,★6,★7,,
83,,,"Tomo yo - Kono Saki mo Zutto...【Crayon Shin-chan: Fast Asleep! 
The Great Assault on Dreamy World!】
友よ ～この先もずっと･･･
／「映画クレヨンしんちゃん 爆睡！ユメミーワールド大突撃」より",★2,★4,★4,★5,,
84,,,"Road Movie 【Crayon Shin-chan: Invasion!! Alien Shiriri】
ロードムービー／「映画クレヨンしんちゃん 襲来!! 宇宙人シリリ」より",★3,★4,★4,★5,,
85,,,"Muscat 【Crayon Shin-chan】
マスカット／「クレヨンしんちゃん」より",★1,★1,★1,★2,,
86,,,"Odoru Ponpokorin 【Chibi Maruko-chan】
おどるポンポコリン",★1,★2,★3,★4,★8,
87,,,
88,,,"Genkai Toppa x Survivor 【Dragon Ball Super】
限界突破×サバイバー／「ドラゴンボール超」より",★3,★3,★3,★3,★8,
89,,,
90,,,"Dragon Soul 【Dragon Ball Z Kai】
Dragon Soul／「ドラゴンボール改」より",★2,★3,★5,★6,,
91,,,"CHA-LA HEAD-CHA-LA 【Dragon Ball Z】
CHA-LA HEAD-CHA-LA／「ドラゴンボールＺ」より",★3,★4,★5,★6,,
92,,,"Kaibutsu 【YOASOBI】
怪物／YOASOBI「怪物 / 優しい彗星」より",★3,★5,★6,★7,,
93,,,"Inferno 【Fire Force】
インフェルノ／「炎炎ノ消防隊」より",★3,★5,★5,★8,,
94,,,"Onegai Muscle 【How Heavy Are the Dumbbells You Lift?】
お願いマッスル／「ダンベル何キロ持てる？」より",★3,★5,★6,★7,,
95,,,"Blue Bird 【Naruto Shippuden】
ブルーバード／「NARUTO-ナルト-疾風伝」より",★3,★4,★5,★6,,
96,,,"GO!!! 【Naruto】
GO!!!／「NARUTO」 より",★4,★4,★5,★8,,
97,,,"Rhapsody of Blue Sky 【Miss Kobayashi's Dragon Maid】
青空のラプソディ／TVアニメ「小林さんちのメイドラゴン」OP主題歌",★3,★4,★5,★8,★9,
98,,,"Sugar Song to Bitter Step 【Kekkai Sensen】
シュガーソングとビターステップ／「血界戦線」より",★3,★4,★5,★8,,
99,,,"Hikarunara 【Your Lie in April】
光るなら／「四月は君の嘘」より",★3,★4,★5,★7,,
100,,,"Netsujou no Spectrum 【Ikimono Gakari】
熱情のスペクトラム",★3,★4,★5,★8,,
101,,,"Uso 【Sid】
嘘／「鋼の錬金術師FULLMETAL ALCHEMIST」より",★3,★5,★5,★6,,
